Type	Name	DRINK_ID	Premium	Description	Bar	Unique
Tequila & Mezcal	1800 Reposado	6QpEtuF9Xq	FALSE	—	The Overlook Bar	TRUE
Cocktail	8 Ball	ViJuArDeuC	FALSE	Gin, coconut rum, watermelon syrup and grapefruit juice	Dueling Pianos	FALSE
Cocktail	8 Ball	ViJuArDeuC	FALSE	Gin, coconut rum, watermelon syrup and grapefruit juice	Music Hall	FALSE
Cocktail	8 Ball	ViJuArDeuC	FALSE	Gin, coconut rum, watermelon syrup and grapefruit juice	Spotlight Karaoke	FALSE
Vodka	Absolut	A6Zg23n7Jn	FALSE	—	Music Hall	FALSE
Vodka	Absolut	A6Zg23n7Jn	FALSE	—	The Overlook Bar	FALSE
Vodka	Absolut Citron	y4LDnSr9Oz	FALSE	—	The Overlook Bar	TRUE
Vodka	Absolut Vanilla	kHAA2OTP42	FALSE	—	The Overlook Bar	TRUE
Cocktail	Amalfi Coast	3EeSH4EBCW	FALSE	Belvedere vodka, limoncello, elderflower tonic and sparkling grapefruit	Point and Feather Pub	TRUE
Beer	Amstel Light	ZSJAPiDTc1	FALSE	Dutch pilsner 4.1% ABV	Aquadome Market Bar	FALSE
Beer	Amstel Light	ZSJAPiDTc1	FALSE	Dutch pilsner 4.1% ABV	Boleros	FALSE
Beer	Amstel Light	ZSJAPiDTc1	FALSE	Dutch pilsner 4.1% ABV	Dueling Pianos	FALSE
Beer	Amstel Light	ZSJAPiDTc1	FALSE	Dutch pilsner 4.1% ABV	Music Hall	FALSE
Beer	Amstel Light	ZSJAPiDTc1	FALSE	Dutch pilsner 4.1% ABV	Playmakers Sports Bar	FALSE
Beer	Amstel Light	ZSJAPiDTc1	FALSE	Dutch pilsner 4.1% ABV	Schooner Bar	FALSE
Beer	Amstel Light	ZSJAPiDTc1	FALSE	Dutch pilsner 4.1% ABV	The Overlook Bar	FALSE
Beer	Amstel Light	ZSJAPiDTc1	FALSE	Dutch pilsner 4.1% ABV	Trellis Bar	FALSE
Cider	Angry Orchard Hard Cider	bR6ksq2dc3	FALSE	Cider 5% ABV	Playmakers Sports Bar	FALSE
Cider	Angry Orchard Hard Cider	bR6ksq2dc3	FALSE	Cider 5% ABV	Point and Feather Pub	FALSE
Cider	Angry Orchard Hard Cider	bR6ksq2dc3	FALSE	Cider 5% ABV	Aquadome Market Bar	FALSE
Cider	Angry Orchard Hard Cider	bR6ksq2dc3	FALSE	Cider 5% ABV	The Overlook Bar	FALSE
Cider	Angry Orchard Hard Cider	bR6ksq2dc3	FALSE	Cider 5% ABV	Trellis Bar	FALSE
Apéritif	Aperol	yaRKUMOxUp	FALSE	—	Aquadome Market Bar	FALSE
Apéritif	Aperol	yaRKUMOxUp	FALSE	—	The Overlook Bar	FALSE
Apéritif	Aperol	yaRKUMOxUp	FALSE	—	Trellis Bar	FALSE
Gin	Aviation	lPbBIAJya3	FALSE	—	Music Hall	FALSE
Gin	Aviation	lPbBIAJya3	FALSE	—	Point and Feather Pub	FALSE
Tequila & Mezcal	Avión Silver	AIkvwIAcDn	FALSE	—	The Overlook Bar	TRUE
Cocktail	B-Flat Negroni	mtLfSvjE9T	FALSE	Hendrick’s gin, Suze liqueur and dry vermouth	Lou’s Jazz n Blues	TRUE
Apéritif	B&B	iExtAAMEiC	FALSE	—	Aquadome Market Bar	FALSE
Apéritif	B&B	iExtAAMEiC	FALSE	—	The Overlook Bar	FALSE
Apéritif	B&B	iExtAAMEiC	FALSE	—	Trellis Bar	FALSE
Rum	Bacardi Superior	uApKGogRUw	FALSE	—	The Overlook Bar	FALSE
Rum	Bacardi Reserva Ocho	ZAmwoRPkPh	FALSE	—	Music Hall	FALSE
Rum	Bacardi Reserva Ocho	ZAmwoRPkPh	FALSE	—	The Overlook Bar	FALSE
Rum	Bacardi Superior	uApKGogRUw	FALSE	—	Music Hall	FALSE
Cocktail	Bae at the Beach	E65blDMKA9	FALSE	Ketel One Botanical Grapefruit & Rose vodka, Munyon’s Paw-Paw Premium Florida liqueur, lemon and grapefruit juices, simple syrup and Q sparkling grapefruit	Swim n Tonic	FALSE
Cocktail	Bae at The Beach	svtM7CjpY9	FALSE	Ketel One Botanical Grapefruit & Rose vodka, Munyon’s Paw-Paw Premium Florida liqueur, lemon and grapefruit juices, simple syrup and Q sparkling grapefruit	The Hideaway Bar	FALSE
Liqueurs	Baileys Irish Cream	z5ZAyPoQEO	FALSE	—	Aquadome Market Bar	FALSE
Liqueurs	Baileys Irish Cream	z5ZAyPoQEO	FALSE	—	Music Hall	FALSE
Liqueurs	Baileys Irish Cream	z5ZAyPoQEO	FALSE	—	The Overlook Bar	FALSE
Liqueurs	Baileys Irish Cream	z5ZAyPoQEO	FALSE	—	Trellis Bar	FALSE
Zero Proof	Bajan Green Tea	NKs0BGpcU2	FALSE	Guava and passion fruit syrup, green tea, coconut milk and club soda	Rye and Bean	TRUE
Red Wine	Barkan Cabernet Sauvignon	9eZAA7wn7v	FALSE	—	Music Hall	TRUE
White Wine	Barkan Chardonnay	ZOXSzJW0Nt	FALSE	—	Music Hall	TRUE
Red Wine	Barkan Merlot	qh0LDyqWBU	FALSE	—	Music Hall	TRUE
